Filename	Word-Index	Word	Phoneme-Index	Phoneme	Consonant_Duration	Closure_Duration	Noise_Duration	Manner	Voicing	Place	Sibilance	Posteriority	Sys_Name	Context	Sys_Quality_BL	Sys_Quality	Sys_Family	Sys_CrossType
booksent_2013_0003	8	the	0	DH	50.0	0.0	50.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0004	11	headshake	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0004	3	she	0	SH	50.0	0.0	50.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	10	that	0	DH	30.0	0.0	30.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	12	had	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	14	her	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	15	foolish	0	F	90.0	0.0	90.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	16	fern	0	F	60.0	0.0	60.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	20	the	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	2	this	0	DH	50.0	0.0	50.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	4	nothing	2	TH	40.0	0.0	40.0	Fricative	Voiceless	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	9	save	0	S	110.0	0.0	110.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	0	she	0	SH	130.0	0.0	130.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	11	this	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	16	sufficient	0	S	50.0	0.0	50.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	16	sufficient	2	F	70.0	0.0	70.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	16	sufficient	4	SH	90.0	0.0	90.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	1	had	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	5	her	0	HH	40.0	0.0	40.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0007	11	her	0	HH	70.0	0.0	70.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0007	12	she	0	SH	140.0	0.0	140.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0007	3	her	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0007	7	pursuit	2	S	130.0	0.0	130.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0007	8	had	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0008	11	she	0	SH	110.0	0.0	110.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0008	13	the	0	DH	50.0	0.0	50.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0008	14	hideous	0	HH	90.0	0.0	90.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0008	16	presence	3	Z	70.0	0.0	70.0	Fricative	Voiced	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0008	4	her	0	HH	40.0	0.0	40.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0008	9	even	1	V	50.0	0.0	50.0	Fricative	Voiced	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0009	15	head	0	HH	100.0	0.0	100.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0009	16	the	0	DH	50.0	0.0	50.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0009	2	have	0	HH	30.0	0.0	30.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0009	4	there	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0009	9	sobbed	0	S	130.0	0.0	130.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0010	15	rather	2	DH	60.0	0.0	60.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0010	16	the	0	DH	50.0	0.0	50.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0010	1	have	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0010	20	baffled	2	F	50.0	0.0	50.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0010	6	sentinel	0	S	130.0	0.0	130.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0011	16	had	0	HH	100.0	0.0	100.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0011	18	shade	0	SH	180.0	0.0	180.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0011	1	present	3	Z	80.0	0.0	80.0	Fricative	Voiced	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0011	4	however	0	HH	80.0	0.0	80.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0011	4	however	3	V	70.0	0.0	70.0	Fricative	Voiced	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0011	6	such	0	S	90.0	0.0	90.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0011	7	that	0	DH	80.0	0.0	80.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	0	he	0	HH	80.0	0.0	80.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	10	hard	0	HH	110.0	0.0	110.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	14	the	0	DH	50.0	0.0	50.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	16	though	0	DH	90.0	0.0	90.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	18	without	2	DH	60.0	0.0	60.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	26	his	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	2	soon	0	S	100.0	0.0	100.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	4	some	0	S	70.0	0.0	70.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	6	from	0	F	50.0	0.0	50.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0012	9	breathing	3	DH	50.0	0.0	50.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0013	0	he	0	HH	90.0	0.0	90.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0013	13	her	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0013	18	his	0	HH	80.0	0.0	80.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0013	6	his	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	11	them	0	DH	60.0	0.0	60.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	17	dissatisfaction	2	S	100.0	0.0	100.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	19	his	0	HH	80.0	0.0	80.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	1	the	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	20	brother	3	DH	60.0	0.0	60.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	4	the	0	DH	30.0	0.0	30.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	5	first	0	F	80.0	0.0	80.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0015	12	evil	1	V	60.0	0.0	60.0	Fricative	Voiced	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0015	14	nothing	2	TH	60.0	0.0	60.0	Fricative	Voiceless	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0015	1	have	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0015	2	her	0	HH	40.0	0.0	40.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0015	5	the	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0015	8	so	0	S	60.0	0.0	60.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0015	9	soon	0	S	160.0	0.0	160.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0016	0	the	0	DH	80.0	0.0	80.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0016	12	the	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0016	13	present	3	Z	80.0	0.0	80.0	Fricative	Voiced	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0016	14	disappointment	2	S	70.0	0.0	70.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0016	2	suspense	0	S	50.0	0.0	50.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0016	4	the	0	DH	30.0	0.0	30.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0016	6	had	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0017	0	her	0	HH	100.0	0.0	100.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0017	10	within	2	DH	70.0	0.0	70.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0017	11	the	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0017	3	gratified	5	F	110.0	0.0	110.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0017	4	heart	0	HH	130.0	0.0	130.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0017	6	hardly	0	HH	90.0	0.0	90.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0017	9	expressions	6	SH	90.0	0.0	90.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	11	that	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	16	had	0	HH	30.0	0.0	30.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	19	without	2	DH	50.0	0.0	50.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	20	her	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	21	seeing	0	S	150.0	0.0	150.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	22	isabella	1	Z	50.0	0.0	50.0	Fricative	Voiced	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	25	than	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	29	together	4	DH	70.0	0.0	70.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	3	thus	0	DH	30.0	0.0	30.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	4	full	0	F	80.0	0.0	80.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	6	happiness	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	7	catherine	2	TH	60.0	0.0	60.0	Fricative	Voiceless	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	9	hardly	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	12	the	0	DH	50.0	0.0	50.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	13	whole	0	HH	80.0	0.0	80.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	15	their	0	DH	40.0	0.0	40.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	16	conversation	5	S	110.0	0.0	110.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	16	conversation	7	SH	80.0	0.0	80.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	17	her	0	HH	90.0	0.0	90.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	19	had	0	HH	70.0	0.0	70.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	2	her	0	HH	70.0	0.0	70.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	8	impossible	4	S	100.0	0.0	100.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0020	0	that	0	DH	60.0	0.0	60.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0020	10	himself	0	HH	30.0	0.0	30.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0020	14	her	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0020	1	he	0	HH	40.0	0.0	40.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0020	2	should	0	SH	70.0	0.0	70.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0020	3	think	0	TH	50.0	0.0	50.0	Fricative	Voiceless	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0020	6	his	0	HH	60.0	0.0	60.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0020	9	fancy	0	F	90.0	0.0	90.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	0	he	0	HH	260.0	0.0	260.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	13	had	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	14	seemed	0	S	160.0	0.0	160.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	16	the	0	DH	80.0	0.0	80.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	17	fault	0	F	80.0	0.0	80.0	Fricative	Voiceless	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	19	have	0	HH	30.0	0.0	30.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	22	her	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	23	misapprehension	2	S	80.0	0.0	80.0	Fricative	Voiceless	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	23	misapprehension	7	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	5	her	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	6	brother	3	DH	60.0	0.0	60.0	Fricative	Voiced	Dental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	9	rival	2	V	60.0	0.0	60.0	Fricative	Voiced	Labiodental	Non_Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0022	0	she	0	SH	120.0	0.0	120.0	Fricative	Voiceless	Postalveolar	Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0022	16	her	0	HH	70.0	0.0	70.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0022	1	had	0	HH	50.0	0.0	50.0	Fricative	Voiceless	Glottal	Non_Sibilant	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0022	2	resisted	2	Z	90.0	0.0	90.0	Fricative	Voiced	Alveolar	Sibilant	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
