Filename	Word-Index	Word	Phoneme-Index	Phoneme	Peak.Amplitude	Peak.Frequency	Dyn.Amplitude	Spectral.Tilt	Spectral.Shape	Manner	Voicing	Place	Sibilance	Posteriority	Sys_Name	Context	Sys_Quality_BL	Sys_Quality	Sys_Family	Sys_CrossType
booksent_2013_0001	3	time	0	T	54.26	5718.75	2.21	-5.53	6.1	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0087	5	riveted	4	T	55.93	4406.25	8.98	4.53	6.94	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0053	13	back	0	B	64.47	1812.5	0.0	-20.12	4.93	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0065	1	hatter's	2	T	50.11	5187.5	-0.59	-6.6	5.18	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0036	8	do	0	D	48.29	2312.5	1.6	-5.87	8.47	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0094	17	darkness	0	D	50.51	1656.25	0.0	-14.3	5.73	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0058	5	disobey	0	D	56.01	5062.5	5.39	-3.23	10.6	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	3	got	0	G	48.15	1687.5	-0.22	-10.91	4.28	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0091	6	walking	2	K	66.3	3031.25	2.11	-10.26	13.12	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0055	5	duchess	0	D	60.05	1843.75	0.0	-13.82	2.65	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	17	dissatisfaction	0	D	56.73	4843.75	8.8	0.81	6.32	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0002	2	to	0	T	50.09	2156.25	2.76	-4.59	8.17	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0064	23	tea	0	T	47.65	5406.25	8.89	-0.77	7.43	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0076	17	by	0	B	72.11	562.5	-8.06	-16.7	-4.87	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0098	17	toto	2	T	48.29	3000.0	1.01	-6.34	6.62	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	9	to	0	T	49.51	4562.5	0.56	-4.55	4.51	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0086	8	obediently	1	B	62.74	1968.75	-0.77	-17.02	9.45	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	6	gaiety	3	T	47.98	5343.75	4.29	-1.28	8.35	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0089	16	to	0	T	47.42	3062.5	0.84	-8.23	2.6	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0061	4	canvas	0	K	50.21	2906.25	2.92	-7.37	9.72	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0031	18	shadow	2	D	58.21	1843.75	0.0	-16.59	8.5	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0084	4	recovering	2	K	51.84	1843.75	0.0	-9.17	9.6	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0057	4	to	0	T	54.01	3187.5	4.82	-3.47	7.77	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0039	9	pulled	0	P	53.45	3750.0	3.71	-9.22	8.39	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0100	6	could	0	K	54.32	2062.5	0.87	-8.13	12.4	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0041	9	to	0	T	60.55	4968.75	8.19	-1.12	6.64	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0073	23	intercourse	4	K	46.53	1250.0	0.0	-14.46	2.11	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0065	16	certainly	2	T	40.27	5593.75	-6.88	-6.03	-3.37	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	17	passed	0	P	40.02	1687.5	0.0	-11.2	4.55	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0017	15	calmness	0	K	46.04	1531.25	0.0	-9.39	4.73	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	12	again	1	G	45.99	3250.0	1.62	-8.37	8.86	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0028	9	persuaded	0	P	49.22	1718.75	0.0	-11.63	7.47	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0078	15	bag	0	B	54.02	1687.5	0.0	-17.16	3.65	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0095	9	to	0	T	57.48	4875.0	3.12	-2.5	10.85	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0058	4	to	0	T	55.11	3968.75	6.46	-3.61	10.84	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0011	9	too	0	T	55.46	4156.25	8.99	1.81	5.86	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0004	10	negative	4	T	49.14	4937.5	6.63	-0.93	8.09	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0090	23	pretty	3	T	42.58	2093.75	4.42	-4.19	8.3	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0025	12	illuminated	7	T	52.47	2218.75	3.09	-3.19	13.23	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0035	6	hidden	2	D	53.11	562.5	-8.0	-15.45	-4.0	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0092	21	to	0	T	58.62	3437.5	1.34	-8.85	12.3	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0082	10	give	0	G	53.11	3187.5	8.15	-5.73	9.81	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0040	1	didn't	2	D	75.04	562.5	-12.02	-17.08	-4.9	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0048	18	courtesies	2	T	59.32	1906.25	0.0	-8.43	15.83	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0099	7	deep	0	D	58.91	5250.0	7.28	-7.48	13.56	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0064	3	table	2	B	66.34	562.5	-10.41	-16.3	-4.83	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0087	4	gaze	0	G	56.6	2531.25	3.22	-8.38	8.54	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0059	17	to	0	T	52.39	4000.0	7.24	0.02	7.9	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0064	3	table	0	T	57.39	5281.25	9.81	1.78	8.5	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0010	21	beast	0	B	59.09	2093.75	3.31	-15.31	13.24	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0031	4	piles	0	P	44.52	1656.25	0.0	-14.66	2.71	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0031	1	be	0	B	63.7	562.5	-7.91	-14.95	1.68	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0060	22	opportunity	1	P	51.4	2281.25	0.92	-10.32	6.88	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0054	13	to	0	T	53.45	4156.25	4.53	-1.31	6.8	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0076	8	tea	0	T	53.94	5062.5	10.87	2.23	9.96	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0078	7	cotton	0	K	45.4	1531.25	0.0	-9.0	5.06	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0017	14	tolerable	0	T	46.78	5093.75	0.8	-4.88	5.23	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0051	16	shouted	2	T	46.24	1781.25	0.0	-10.23	6.86	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0021	10	but	0	B	32.54	5375.0	-4.99	-3.32	-2.2	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0083	5	to	0	T	54.59	4843.75	3.86	-0.55	8.2	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0058	3	dare	0	D	49.44	2093.75	2.67	-6.77	6.94	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0016	7	been	0	B	70.79	1906.25	0.0	-17.63	16.19	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0073	11	visitor	4	T	47.73	3875.0	0.8	-7.41	7.27	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0081	10	cutting	2	T	56.62	1906.25	0.0	-8.4	5.86	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0061	5	bag	0	B	55.99	1687.5	0.0	-18.5	4.12	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0041	8	kind	0	K	47.1	1906.25	0.0	-7.33	9.89	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0092	28	corn	0	K	42.77	1343.75	0.0	-9.85	2.54	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	17	again	1	G	49.54	3312.5	1.8	-9.53	10.16	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0043	7	being	0	B	46.44	2906.25	1.48	-6.62	8.35	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0030	16	bear	0	B	58.64	1812.5	0.0	-18.84	5.61	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0027	9	till	0	T	57.57	4562.5	10.29	2.31	8.22	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0038	16	turbid	2	B	72.24	2062.5	0.91	-23.76	14.62	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0093	20	became	0	B	68.71	2000.0	-3.16	-21.72	3.19	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0077	6	texture	0	T	48.41	4375.0	4.33	-4.9	6.98	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0041	10	babies	2	B	60.71	2031.25	1.02	-13.21	7.82	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0062	7	down	0	D	55.0	1781.25	0.0	-12.36	5.33	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0030	24	gasp	0	G	51.0	2031.25	0.62	-11.65	8.8	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0068	16	deteriorated	2	T	50.76	5250.0	11.36	2.57	8.53	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0028	1	called	0	K	47.39	1656.25	0.0	-9.06	6.91	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0032	9	against	1	G	51.27	3093.75	2.14	-10.24	9.92	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0014	15	to	0	T	56.98	3531.25	7.32	-3.62	12.7	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0053	5	but	0	B	69.2	1718.75	0.0	-15.06	11.11	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0040	14	told	0	T	53.19	4500.0	2.07	-4.92	5.53	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0092	4	cornfield	0	K	49.23	1312.5	0.0	-15.96	3.87	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0094	7	faded	2	D	59.69	2000.0	0.0	-12.31	7.44	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0047	16	by	0	B	59.83	1531.25	0.0	-25.45	-1.98	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0034	7	camel	0	K	47.5	5062.5	2.39	-7.67	7.81	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0048	3	courtesying	0	K	46.95	1375.0	0.0	-14.61	0.79	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	6	happiness	2	P	67.45	1500.0	-1.68	-19.99	10.86	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0019	0	to	0	T	63.57	4156.25	9.68	-1.1	7.77	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0040	3	begin	0	B	58.87	687.5	-9.08	-14.6	-0.49	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0018	7	catherine	0	K	46.02	2281.25	0.71	-7.04	9.6	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0007	7	pursuit	0	P	46.86	1906.25	0.0	-10.71	9.8	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0084	17	upon	1	P	43.63	2156.25	0.91	-10.45	7.69	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0001	13	to	0	T	51.56	1843.75	0.0	-8.84	6.53	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0006	6	gaiety	0	G	51.47	2625.0	5.9	-9.07	10.42	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0025	8	petulant	0	P	46.42	1937.5	0.0	-12.27	6.24	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0067	9	discovered	0	D	48.51	4562.5	0.99	-4.09	8.34	Stop	Voiced	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0067	2	could	0	K	54.72	1437.5	0.0	-17.83	1.45	Stop	Voiceless	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0005	19	to	0	T	62.97	3531.25	10.46	-6.67	9.55	Stop	Voiceless	Alveolar	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0060	15	behind	0	B	22.43	5156.25	-2.48	-1.14	-0.14	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0040	3	begin	2	G	59.91	3250.0	1.79	-9.98	3.75	Stop	Voiced	Velar	0	Posterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0073	1	opened	1	P	60.94	1812.5	0.0	-14.34	10.51	Stop	Voiceless	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
booksent_2013_0040	5	be	0	B	68.99	2000.0	0.0	-20.76	14.48	Stop	Voiced	Bilabial	0	Anterior	R	CV	Good	Neu-R1	Neural	Neural-GA
